"CODE","DAY","CCY","PRECLOSE","OPEN","HIGH","LOW","CLOSE","CHANGE","PCTCHANGE","VOLUME","AMOUNT","ADJPRECLOSE","ADJOPEN","ADJHIGH","ADJLOW","ADJCLOSE","ADJFACTOR","AVGPRICE","TRADESTATUS","TRADESTATUSCODE","LIMIT","STOPPING","PRESETTLE","SETTLE","OI","FS_INFO_TYPE","OPDATE","SOURCE","OICHANGE","DIRTYPRICE","NETPRICE","NAV","ADJNAV","NAV_ADJFACTOR","ROOT","BID","ASK","MID","FIRST_NOTICE_DAY","LAST_TRADING_DAY","PREHALFH_AVG_PRICE","ADJ_FACTOR_NET","ADJ_CLOSE_NET","DELTA","GAMMA","VEGA","THETA","RHO"
IM2612.CFE,"2026-06-10",,,7720,7740,7585,7689.2,-71.8,,20396,3124291.12,,,,,,,,,,,,7761,7672.6,76574,"2",2026-06-13 17:30:43,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-11",,,7673,7721.6,7590,7660.6,-12,,19867,3036015.596,,,,,,,,,,,,7672.6,7631,77727,"2",2026-06-14 17:30:36,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-12",,,7755,7847.4,7711,7735,104,,24082,3744274.644,,,,,,,,,,,,7631,7735.8,78857,"2",2026-06-15 17:30:40,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-15",,,7815,8014.2,7815,8012.6,276.8,,28590,4545946.596,,,,,,,,,,,,7735.8,7983,82837,"2",2026-06-18 17:31:00,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-16",,,8012,8153,7983,8109.8,126.8,,28593,4625338.016,,,,,,,,,,,,7983,8118.2,86394,"2",2026-06-19 17:30:43,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-17",,,8089,8204,8080,8201,82.8,,22735,3704975.356,,,,,,,,,,,,8118.2,8171.4,88619,"2",2026-06-20 17:30:36,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-18",,,8183.2,8288.8,8172,8270,98.6,,26046,4293504.348,,,,,,,,,,,,8171.4,8262.8,92936,"2",2026-06-21 17:30:31,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-22",,,8301,8310,8126.4,8281,18.2,,31029,5101936.32,,,,,,,,,,,,8262.8,8279,94592,"2",2026-06-25 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-23",,,8271.4,8285,8099,8156,-123,,26961,4423448.432,,,,,,,,,,,,8279,8135,95006,"2",2026-06-26 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-24",,,8156,8265.2,8100,8221.2,86.2,,22110,3619911.62,,,,,,,,,,,,8135,8234.2,94495,"2",2026-06-26 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
